date,AFGHANISTAN_CENTRAL MEDITERRANEAN,AFGHANISTAN_EASTERN BORDERS,AFGHANISTAN_EASTERN MEDITERRANEAN (L),AFGHANISTAN_EASTERN MEDITERRANEAN (S),AFGHANISTAN_WESTERN BALKAN,ALBANIA_WESTERN BALKAN,ALGERIA_CENTRAL MEDITERRANEAN,ALGERIA_WESTERN BALKAN,ALGERIA_WESTERN MEDITERRANEAN (L),ALGERIA_WESTERN MEDITERRANEAN (S),BANGLADESH_CENTRAL MEDITERRANEAN,BANGLADESH_EASTERN MEDITERRANEAN (L),BANGLADESH_EASTERN MEDITERRANEAN (S),BANGLADESH_WESTERN BALKAN,BELARUS_EASTERN BORDERS,BENIN_CENTRAL MEDITERRANEAN,BURKINA FASO_CENTRAL MEDITERRANEAN,BURUNDI_WESTERN BALKAN,CAMEROON_CENTRAL MEDITERRANEAN,CAMEROON_EASTERN MEDITERRANEAN (L),CAMEROON_EASTERN MEDITERRANEAN (S),CAMEROON_WESTERN AFRICAN,CAMEROON_WESTERN BALKAN,CHAD_CENTRAL MEDITERRANEAN,CHINA_WESTERN BALKAN,COMOROS_CENTRAL MEDITERRANEAN,COMOROS_WESTERN AFRICAN,CONGO (BRAZZAVILLE)_CENTRAL MEDITERRANEAN,CONGO (BRAZZAVILLE)_EASTERN MEDITERRANEAN (L),CONGO (BRAZZAVILLE)_EASTERN MEDITERRANEAN (S),CONGO (BRAZZAVILLE)_WESTERN BALKAN,CONGO (KINSHASA)_CENTRAL MEDITERRANEAN,CONGO (KINSHASA)_EASTERN MEDITERRANEAN (L),CONGO (KINSHASA)_EASTERN MEDITERRANEAN (S),CONGO (KINSHASA)_WESTERN BALKAN,CUBA_WESTERN BALKAN,CÔTE D'IVOIRE_CENTRAL MEDITERRANEAN,CÔTE D'IVOIRE_WESTERN AFRICAN,EGYPT_CENTRAL MEDITERRANEAN,EGYPT_EASTERN MEDITERRANEAN (L),EGYPT_EASTERN MEDITERRANEAN (S),EGYPT_WESTERN BALKAN,ERITREA_CENTRAL MEDITERRANEAN,ERITREA_EASTERN BORDERS,ERITREA_EASTERN MEDITERRANEAN (S),ETHIOPIA_CENTRAL MEDITERRANEAN,ETHIOPIA_EASTERN BORDERS,ETHIOPIA_EASTERN MEDITERRANEAN (S),GAMBIA_CENTRAL MEDITERRANEAN,GAMBIA_EASTERN MEDITERRANEAN (S),GAMBIA_WESTERN AFRICAN,GEORGIA_EASTERN MEDITERRANEAN (L),GHANA_CENTRAL MEDITERRANEAN,GHANA_EASTERN MEDITERRANEAN (S),GUINEA-BISSAU_WESTERN AFRICAN,GUINEA_CENTRAL MEDITERRANEAN,GUINEA_EASTERN MEDITERRANEAN (S),GUINEA_WESTERN AFRICAN,GUINEA_WESTERN MEDITERRANEAN (L),GUINEA_WESTERN MEDITERRANEAN (S),INDIA_EASTERN MEDITERRANEAN (S),INDIA_WESTERN BALKAN,IRAN_CENTRAL MEDITERRANEAN,IRAN_EASTERN BORDERS,IRAN_EASTERN MEDITERRANEAN (L),IRAN_EASTERN MEDITERRANEAN (S),IRAN_WESTERN BALKAN,IRAQ_CENTRAL MEDITERRANEAN,IRAQ_EASTERN BORDERS,IRAQ_EASTERN MEDITERRANEAN (L),IRAQ_EASTERN MEDITERRANEAN (S),IRAQ_WESTERN BALKAN,KOSOVO*_WESTERN BALKAN,KUWAIT_EASTERN MEDITERRANEAN (S),LEBANON_CENTRAL MEDITERRANEAN,LIBERIA_CENTRAL MEDITERRANEAN,LIBERIA_EASTERN MEDITERRANEAN (S),LIBYA_CENTRAL MEDITERRANEAN,LIBYA_WESTERN BALKAN,MALI_CENTRAL MEDITERRANEAN,MALI_EASTERN MEDITERRANEAN (S),MALI_WESTERN AFRICAN,MALI_WESTERN MEDITERRANEAN (S),MAURITANIA_WESTERN AFRICAN,MONGOLIA_WESTERN BALKAN,MOROCCO_CENTRAL MEDITERRANEAN,MOROCCO_EASTERN MEDITERRANEAN (L),MOROCCO_WESTERN AFRICAN,MOROCCO_WESTERN BALKAN,MOROCCO_WESTERN MEDITERRANEAN (L),MOROCCO_WESTERN MEDITERRANEAN (S),NEPAL_WESTERN BALKAN,NIGERIA_CENTRAL MEDITERRANEAN,NIGERIA_EASTERN MEDITERRANEAN (L),NIGERIA_EASTERN MEDITERRANEAN (S),OTHER_CENTRAL MEDITERRANEAN,OTHER_EASTERN BORDERS,OTHER_EASTERN MEDITERRANEAN (L),OTHER_EASTERN MEDITERRANEAN (S),OTHER_WESTERN AFRICAN,OTHER_WESTERN BALKAN,OTHER_WESTERN MEDITERRANEAN (L),OTHER_WESTERN MEDITERRANEAN (S),PAKISTAN_CENTRAL MEDITERRANEAN,PAKISTAN_EASTERN MEDITERRANEAN (L),PAKISTAN_EASTERN MEDITERRANEAN (S),PAKISTAN_WESTERN AFRICAN,PAKISTAN_WESTERN BALKAN,PALESTINE^_CENTRAL MEDITERRANEAN,PALESTINE^_EASTERN MEDITERRANEAN (L),PALESTINE^_EASTERN MEDITERRANEAN (S),PALESTINE^_WESTERN BALKAN,SENEGAL_CENTRAL MEDITERRANEAN,SENEGAL_WESTERN AFRICAN,SIERRA LEONE_CENTRAL MEDITERRANEAN,SIERRA LEONE_EASTERN MEDITERRANEAN (S),SOMALIA_CENTRAL MEDITERRANEAN,SOMALIA_EASTERN BORDERS,SOMALIA_EASTERN MEDITERRANEAN (L),SOMALIA_EASTERN MEDITERRANEAN (S),SOMALIA_WESTERN BALKAN,SOUTH SUDAN_CENTRAL MEDITERRANEAN,SRI LANKA_WESTERN BALKAN,STATELESS_EASTERN MEDITERRANEAN (S),SUDAN_CENTRAL MEDITERRANEAN,SUDAN_EASTERN BORDERS,SUDAN_EASTERN MEDITERRANEAN (S),SUDAN_WESTERN MEDITERRANEAN (L),SYRIA_CENTRAL MEDITERRANEAN,SYRIA_EASTERN BORDERS,SYRIA_EASTERN MEDITERRANEAN (L),SYRIA_EASTERN MEDITERRANEAN (S),SYRIA_WESTERN BALKAN,SYRIA_WESTERN MEDITERRANEAN (S),TOGO_CENTRAL MEDITERRANEAN,TUNISIA_CENTRAL MEDITERRANEAN,TUNISIA_WESTERN BALKAN,TÜRKIYE_CENTRAL MEDITERRANEAN,TÜRKIYE_EASTERN BORDERS,TÜRKIYE_EASTERN MEDITERRANEAN (L),TÜRKIYE_EASTERN MEDITERRANEAN (S),TÜRKIYE_WESTERN BALKAN,UKRAINE_EASTERN BORDERS,UNKNOWN_CENTRAL MEDITERRANEAN,UNKNOWN_EASTERN MEDITERRANEAN (S),UNSPECIFIED SUB-SAHARAN NATIONALS_WESTERN AFRICAN,UNSPECIFIED SUB-SAHARAN NATIONALS_WESTERN MEDITERRANEAN (S),YEMEN_CENTRAL MEDITERRANEAN,YEMEN_EASTERN MEDITERRANEAN (S),YEMEN_WESTERN BALKAN
2021-11-01,571,14,64,100,1487,14,105,31,0,27,1117,12,71,0,21,20,31,0,152,0,185,0,0,15,1,0,0,2,0,17,0,0,0,573,0,12,378,0,1893,0,21,57,448,0,9,36,4,20,103,0,0,3,52,2,0,351,39,0,17,0,6,102,458,7,7,30,25,274,305,10,27,51,47,0,23,16,63,11,52,209,10,0,0,0,0,528,2,1410,81,17,353,3,242,0,406,40,81,4,55,16,54,1,13,423,8,113,0,75,67,2,178,95,83,0,31,93,212,0,0,360,196,13,0,0,163,0,11,1,723,93,138,389,4317,0,6,714,203,44,27,100,3,381,7,32,0,1703,4,3,10,23
2021-12-01,421,4,32,58,2013,7,243,23,0,901,274,5,101,16,9,3,9,0,56,0,63,0,2,20,1,0,0,0,0,9,2,0,0,398,0,14,318,0,494,0,90,32,262,0,17,54,0,11,100,1,0,0,25,0,0,178,26,0,11,0,4,245,116,3,0,37,15,131,49,10,64,31,9,0,0,7,40,28,38,94,0,0,0,0,0,31,3,863,120,17,273,3,153,0,281,14,34,14,18,2,28,9,12,243,28,140,0,110,12,0,222,39,58,0,29,44,237,1,2,188,26,4,0,0,237,0,16,10,123,49,132,239,3018,31,1,639,237,31,6,125,39,370,1,2,0,1527,57,21,4,12
2022-01-01,91,5,9,27,1789,26,57,8,0,636,904,4,88,24,9,1,7,0,73,0,36,91,0,9,0,0,35,4,0,11,0,0,0,156,0,7,173,284,584,0,1,18,182,0,4,10,0,4,20,5,66,0,18,2,7,110,19,535,6,20,1,270,1,0,9,14,17,0,41,7,13,34,25,0,0,2,18,1,18,31,0,84,15,2,0,31,0,1510,143,41,225,2,71,0,137,8,24,1,25,118,17,3,41,98,6,132,0,96,4,0,74,31,9,415,3,40,30,0,0,129,25,0,0,0,87,0,10,9,31,16,107,159,2912,32,2,382,258,0,7,67,20,294,3,0,0,0,12,1,5,7
2022-02-01,240,7,59,109,1629,8,0,22,0,462,337,1,100,3,10,0,4,0,34,0,85,0,3,0,0,0,0,0,0,4,0,0,0,178,0,7,100,0,799,8,3,12,132,0,0,38,0,2,4,1,0,1,4,1,0,40,15,0,3,0,4,161,18,1,5,15,36,2,44,0,2,57,44,0,1,0,15,0,39,13,7,0,0,0,0,10,0,1485,162,11,201,4,1,0,182,8,58,18,35,0,22,6,17,4,4,153,0,73,32,1,183,53,3,0,3,40,9,0,6,173,17,0,0,0,32,0,7,8,237,11,102,157,2491,27,0,308,306,9,12,66,1,503,92,17,0,862,0,0,5,11
2022-03-01,255,4,109,303,1951,18,4,14,1,0,35,15,116,80,25,0,4,3,38,0,247,0,18,6,6,0,0,2,0,12,13,0,0,426,6,86,163,0,238,0,78,9,31,1,0,2,0,1,10,2,0,3,1,7,0,97,25,0,47,0,6,357,38,0,5,31,39,4,98,3,1,100,53,0,0,1,49,1,18,34,9,0,0,0,0,3,9,153,238,18,27,4,6,0,467,4,32,4,33,0,56,557,0,0,4,245,0,268,0,0,195,55,21,0,4,84,0,0,5,224,64,5,3,1,93,2,3,330,23,9,133,272,2538,0,4,224,432,7,8,340,24,905,1035,0,0,222,0,0,36,11
2022-04-01,355,1,154,174,1780,3,22,34,0,196,765,2,95,26,24,4,3,0,47,0,109,0,5,0,5,0,0,1,0,1,1,0,0,368,0,34,140,0,734,0,77,15,48,0,14,5,0,9,15,18,0,2,16,3,0,146,18,0,45,0,6,463,139,2,7,65,15,49,33,8,14,175,34,0,88,2,32,32,60,7,1,0,0,0,0,5,16,311,181,2,270,3,162,0,403,10,31,14,72,0,44,32,5,5,10,270,0,560,70,1,73,71,11,0,37,83,3,1,6,99,41,12,0,0,38,9,2,30,592,19,291,472,4266,53,2,345,567,14,0,427,20,1142,265,6,0,337,0,0,19,20
2022-05-01,1239,5,30,206,2707,19,117,45,0,362,1673,5,92,21,26,26,49,32,160,0,24,20,10,5,1,0,51,0,0,2,5,1,0,249,0,22,315,169,1190,1,7,10,188,0,9,91,0,11,163,3,23,0,119,3,0,232,3,128,28,21,13,375,457,0,4,37,25,194,1,0,75,81,26,0,4,3,12,11,25,143,0,72,1,0,0,137,3,223,228,6,293,0,144,0,193,27,30,67,40,46,40,23,46,205,7,169,0,1317,29,5,43,101,22,222,9,21,36,0,5,105,96,16,1,0,202,0,4,20,452,2,252,536,5650,40,5,1039,782,16,2,304,50,946,234,25,0,696,0,7,8,31
2022-06-01,1102,2,48,427,2222,8,69,12,1,431,1448,0,153,20,16,16,17,96,68,0,60,0,1,0,6,0,0,6,0,1,12,1,0,214,0,22,250,0,1426,0,3,10,254,0,48,42,0,14,29,7,0,0,18,3,0,148,15,0,35,10,11,482,88,7,4,42,31,86,0,22,26,99,28,0,18,6,7,43,52,64,0,0,0,0,2,85,4,120,199,7,271,22,129,0,186,11,14,17,131,0,56,48,10,248,6,168,0,1341,23,2,120,87,12,0,5,122,23,0,0,273,30,3,2,0,82,0,13,130,538,4,185,531,7541,59,5,1735,1408,24,1,259,25,898,368,13,0,342,0,13,38,10
2022-07-01,27,0,53,274,1760,9,208,40,0,1146,1910,6,94,58,19,14,24,0,178,0,50,0,2,11,2,0,0,1,0,3,4,4,0,205,31,100,535,0,3543,1,0,16,475,0,35,123,0,4,42,15,0,0,106,0,0,341,21,0,22,15,12,968,86,10,12,32,13,37,0,35,5,128,15,0,19,7,3,27,36,99,5,0,13,0,0,107,9,69,173,8,385,17,109,0,181,14,31,1,61,0,37,23,19,347,24,151,0,897,111,0,50,69,22,0,15,91,32,1,9,249,61,3,0,0,145,0,32,12,743,6,285,497,8286,73,10,4276,1269,10,6,391,31,788,598,36,0,779,0,6,41,4
2022-08-01,1741,0,134,315,2399,11,343,8,0,474,2201,15,87,9,15,2,14,128,87,0,21,0,1,5,12,0,0,2,0,2,29,0,0,94,0,61,312,0,3526,0,2,24,281,0,78,24,0,21,121,6,0,0,27,7,0,316,20,0,26,0,10,1393,596,4,3,123,7,433,0,193,147,126,18,0,16,6,8,89,27,127,11,0,0,0,6,69,9,200,220,4,764,3,25,0,145,17,20,17,39,0,36,17,4,533,24,152,0,615,52,22,369,28,17,0,5,110,38,0,1,212,28,4,0,0,78,0,23,8,1203,5,628,548,9883,63,4,4489,755,28,2,232,41,710,794,59,0,865,8,6,55,3
2022-09-01,605,5,123,327,2575,26,33,31,5,1199,1838,9,66,18,13,9,17,341,223,0,96,0,1,2,9,0,0,34,0,4,12,1,0,125,0,36,405,0,3927,1,4,7,324,0,173,30,0,52,215,3,0,1,8,3,0,333,17,0,28,30,12,962,215,7,6,33,28,279,1,192,88,367,18,0,289,4,13,32,16,78,9,0,10,0,0,25,44,627,376,35,640,3,18,0,203,21,30,18,64,1164,20,51,28,281,48,93,0,637,143,5,273,95,33,0,59,198,31,1,0,440,11,0,0,0,79,0,95,20,2121,11,583,829,11776,92,2,1858,414,18,0,195,22,1082,532,120,0,0,0,0,71,16
2022-10-01,770,15,83,725,2315,4,305,22,1,1864,1625,5,81,19,9,10,55,1335,182,0,167,10,5,5,27,4,28,29,0,10,37,0,0,222,49,68,1204,163,2353,0,4,6,99,0,19,3,0,11,159,6,42,1,7,3,5,1159,17,65,15,29,11,426,516,17,8,45,53,560,0,81,89,338,38,4,3,14,28,75,5,122,17,97,30,1,4,86,24,1176,536,6,655,7,40,0,172,32,29,14,40,13,50,11,47,463,12,79,0,205,56,1,353,41,62,107,116,98,1,0,6,265,1,9,6,6,57,3,76,18,791,5,278,543,12558,108,14,2233,406,18,7,162,57,721,492,281,0,193,0,5,69,0
2022-11-01,384,9,46,470,1199,4,37,7,0,216,1521,6,101,33,6,4,61,323,186,0,130,7,7,2,13,7,1,1,0,5,17,6,0,271,0,57,1197,44,1737,4,209,3,40,0,64,3,1,38,146,10,39,0,10,3,1,763,22,41,13,18,23,517,107,28,7,17,15,121,14,22,69,198,10,3,18,9,25,13,2,99,7,86,2,0,0,4,66,380,481,1,220,0,16,0,263,10,44,33,57,9,35,15,36,523,8,228,0,198,58,0,733,18,30,153,19,56,5,0,18,326,41,3,0,1,76,7,64,13,1318,6,257,599,7634,28,6,554,137,4,2,118,32,277,419,77,0,0,0,2,140,2
2022-12-01,557,14,49,425,1083,7,209,5,0,748,1200,0,52,2,8,14,113,51,471,0,31,0,1,7,7,3,0,31,0,19,24,12,0,97,0,62,1621,0,1279,7,20,2,89,0,93,12,1,17,133,12,0,0,17,7,0,1230,30,0,24,23,5,618,92,31,3,16,26,25,38,24,29,193,28,0,0,43,16,2,1,269,6,0,2,0,0,20,6,157,180,1,356,8,91,0,94,51,37,30,59,0,48,18,16,846,15,68,0,163,32,2,519,3,66,0,47,152,41,0,12,282,14,2,0,2,89,1,116,35,922,28,132,336,4397,49,16,1022,48,11,1,91,2,570,298,100,0,312,64,6,88,0
2023-01-01,334,9,43,253,641,7,1,0,5,269,232,9,53,22,3,40,103,13,151,0,78,13,0,12,3,28,17,2,0,2,45,5,0,162,5,73,861,51,359,4,8,1,236,0,85,42,1,13,119,7,21,0,13,7,0,652,24,70,12,23,7,69,35,30,9,6,4,21,31,36,36,54,17,0,0,7,25,3,8,169,12,20,18,0,0,29,20,220,194,15,224,3,98,0,101,20,44,25,43,9,31,27,76,414,1,65,0,102,24,6,328,5,82,146,34,176,6,4,4,145,21,12,1,0,82,2,41,26,253,24,98,265,3498,3,1,347,11,9,3,74,5,195,567,127,0,0,0,0,65,0
2023-02-01,55,23,6,240,822,5,187,2,6,144,1110,0,44,8,2,33,426,8,492,0,131,23,11,7,5,44,23,30,0,7,20,15,0,143,32,61,1528,263,316,3,1,2,282,0,53,26,0,3,395,6,104,0,12,6,16,1724,16,199,5,12,3,15,2,7,4,12,16,0,2,4,22,25,16,0,0,16,28,3,0,398,6,74,11,1,3,14,28,368,23,14,254,29,49,0,134,17,21,1,59,44,23,16,62,761,1,49,0,126,15,9,195,6,305,205,53,61,6,0,2,94,15,0,12,1,109,0,43,27,176,15,58,306,2262,9,2,850,9,2,4,54,5,90,287,2,0,0,0,4,44,6
2023-03-01,10,7,13,254,823,8,18,5,0,304,813,1,23,108,5,20,338,43,839,0,151,6,24,17,31,21,0,14,0,20,65,51,0,175,63,170,2717,76,1691,9,3,0,135,0,94,64,0,7,264,3,34,0,15,7,11,1545,26,56,16,28,6,19,0,3,0,10,16,0,3,26,28,181,27,0,4,47,20,1,0,414,15,18,7,1,2,16,11,108,115,0,378,96,118,0,237,47,19,12,46,1,100,4,31,1906,0,26,0,209,20,4,302,0,116,21,185,101,7,1,0,110,34,4,15,1,129,0,56,21,818,14,135,291,3978,61,9,825,3,0,3,63,15,588,363,11,0,0,0,18,42,0
2023-04-01,144,43,44,207,583,0,2,7,6,409,1255,1,19,107,4,145,995,7,444,0,39,10,13,14,48,24,19,48,0,3,19,36,0,66,52,272,2127,138,2120,0,2,2,367,0,137,23,0,2,312,1,86,0,39,2,8,1896,12,113,4,55,4,68,9,1,1,43,18,18,43,49,11,152,15,0,3,47,16,31,0,453,4,126,19,4,7,15,0,558,149,28,690,83,198,0,103,62,11,5,17,10,60,20,23,789,3,24,0,212,30,0,125,0,125,124,188,40,87,5,3,89,81,44,26,0,165,0,63,35,1089,59,147,480,4544,45,35,1178,6,5,0,52,9,841,227,20,0,0,0,15,57,0
2023-05-01,430,18,32,108,735,7,36,15,28,88,1514,0,20,151,3,74,307,11,40,0,31,7,10,5,63,1,9,3,0,12,11,0,0,123,14,26,217,124,1757,5,6,0,250,2,76,31,2,8,57,1,75,0,11,4,4,329,10,109,13,0,4,26,186,1,15,20,19,56,0,70,26,293,29,0,1,0,8,12,0,88,12,109,0,1,12,30,27,333,90,42,483,46,42,0,70,21,49,6,16,19,46,13,13,1260,2,30,0,289,33,7,235,12,22,257,3,26,13,8,3,169,43,3,12,0,119,0,35,28,752,13,349,574,5846,19,5,348,1,3,3,85,12,676,268,95,0,0,0,0,58,0
2023-06-01,510,14,63,230,444,4,143,0,0,249,1549,0,19,71,4,488,1471,0,380,0,44,11,0,30,24,11,41,11,0,1,0,18,0,33,6,49,1146,252,1139,12,43,0,788,3,92,84,3,9,389,2,298,0,38,0,15,1726,8,247,19,24,4,12,214,17,15,23,7,290,33,391,154,140,14,3,3,30,6,4,1,630,9,190,23,6,5,41,31,612,40,14,844,21,142,0,71,30,40,28,20,66,8,23,19,858,12,40,0,249,56,10,327,2,205,960,100,3,46,5,7,188,34,137,0,0,425,1,38,22,814,12,693,651,5632,9,44,1062,3,61,2,180,10,542,288,73,0,0,0,27,45,0
2023-07-01,331,9,59,470,831,7,22,7,8,817,631,0,14,29,1,413,2107,7,1328,1,75,0,1,26,27,18,0,26,0,2,0,56,0,87,9,14,3717,1,592,7,11,0,284,3,388,103,6,10,756,2,52,0,41,0,1,4789,19,3,15,30,0,32,330,16,3,41,17,198,31,186,111,131,12,1,1,123,7,25,0,1344,8,16,1,1,2,39,38,0,62,25,1222,23,486,0,80,121,32,20,57,4,27,23,31,187,6,26,0,165,30,8,560,7,339,1258,511,8,66,7,9,386,2,109,8,1,767,0,193,14,442,19,447,933,8237,37,49,2858,5,10,1,188,24,536,407,157,0,0,0,24,105,1
2023-08-01,332,29,65,820,575,2,75,5,9,1210,773,7,34,60,6,586,1621,1,891,0,125,5,10,33,47,7,44,93,0,111,19,82,0,266,4,22,2723,156,637,2,72,3,597,0,266,102,0,22,1186,9,408,0,136,8,21,3383,57,215,17,13,1,14,155,19,21,87,6,213,2,345,286,185,16,1,10,69,11,92,1,1260,23,231,41,6,30,67,60,394,73,95,1178,10,385,0,46,127,48,27,94,44,52,24,65,167,30,27,0,312,27,6,1158,21,316,1424,220,46,57,2,8,714,1,114,5,9,1326,4,86,25,1095,22,633,1927,11112,70,38,5352,6,3,0,251,65,1613,468,1371,4,0,0,35,147,2
2023-09-01,41,18,54,2526,1029,1,28,1,54,272,542,0,20,25,3,225,886,6,401,0,94,2,1,15,50,4,26,15,0,21,0,18,0,189,18,5,761,71,382,1,158,3,123,0,279,140,0,25,383,8,323,0,15,15,27,1692,65,117,6,1,0,9,183,1,11,153,10,202,0,156,235,99,15,5,0,64,17,14,2,736,20,518,13,47,34,21,41,481,58,85,753,16,199,0,61,56,38,4,118,42,69,15,2,91,2,4,0,111,8,15,1547,3,198,2176,159,358,107,3,0,662,1,54,24,30,1815,4,216,15,658,6,381,4682,14175,6,36,2520,0,2,2,403,196,877,602,6406,22,0,0,9,139,0
2023-10-01,424,5,13,755,605,12,89,6,0,1184,1965,0,41,47,8,8,4,5,60,0,78,25,17,14,103,0,73,0,0,6,71,0,0,55,21,8,21,272,1331,2,188,0,549,1,61,100,2,8,113,7,2211,0,33,6,119,26,58,658,0,29,0,26,316,15,10,42,52,342,0,32,147,152,4,28,18,0,18,34,4,45,3,566,42,58,12,30,10,1355,131,184,509,17,76,0,42,21,23,15,50,151,46,0,48,476,1,80,2,147,70,2,1251,0,39,9075,1,91,23,5,0,256,52,66,9,17,321,1,71,0,1963,11,147,4660,13234,0,2,1508,0,6,0,279,41,2344,559,226,0,0,0,1,88,0
2023-11-01,87,1,5,1209,119,18,0,0,2,677,1948,3,16,44,5,59,153,0,78,0,16,3,4,16,38,0,58,3,0,4,35,0,0,30,0,3,154,170,683,0,146,4,232,0,92,180,0,24,424,6,650,2,54,5,82,429,8,352,6,11,0,33,69,23,17,31,24,7,0,23,46,78,8,12,11,5,12,6,0,343,0,1009,51,101,7,10,42,983,2,37,605,14,92,0,50,23,13,16,19,62,65,5,28,656,0,40,2,54,27,3,439,2,111,1672,20,130,121,5,0,95,12,15,14,36,552,0,92,6,1390,11,213,2535,155,9,22,225,0,0,5,371,19,473,294,114,1,0,0,16,96,0
2023-12-01,87,0,60,2029,142,5,0,0,2,820,1953,0,58,55,0,59,153,1,78,0,25,16,4,19,23,0,43,3,0,4,35,0,0,33,2,1,154,122,689,16,442,7,236,0,85,180,0,13,423,3,70,0,52,17,8,429,40,185,11,24,0,29,69,14,0,46,5,7,0,30,42,37,2,7,11,5,6,6,0,343,6,2642,123,300,24,10,30,530,51,16,768,50,92,0,35,23,17,4,34,99,31,11,22,668,2,95,0,45,27,12,532,7,111,675,20,153,150,0,0,87,68,27,18,49,550,0,62,5,2067,4,188,2015,264,35,26,1056,0,1,2,347,35,155,236,177,44,0,0,16,86,1
2024-01-01,0,0,36,1375,83,21,1,1,6,327,592,0,69,60,8,1,6,0,3,0,25,12,14,2,24,0,0,0,0,3,15,0,0,39,0,0,11,19,199,6,396,17,37,1,302,46,1,35,58,2,141,0,3,4,12,59,21,93,14,6,0,21,0,0,4,31,6,0,0,11,17,80,3,21,1,1,4,1,0,27,2,4232,31,998,4,36,2,423,62,56,327,14,3,0,33,2,33,17,22,51,31,18,16,160,1,76,0,62,11,10,166,7,10,1233,0,54,0,0,0,78,56,3,7,16,107,0,121,6,415,4,48,1057,984,6,3,491,0,0,0,192,5,355,340,3,0,0,0,1,102,0
2024-02-01,0,0,6,2201,209,10,36,0,13,301,628,0,59,4,4,14,47,0,40,0,20,1,0,3,68,0,20,0,0,0,38,0,0,25,4,0,14,47,314,18,535,63,219,1,60,144,0,0,8,1,163,0,11,2,9,50,11,223,11,19,0,3,0,1,0,42,22,0,0,23,25,67,5,13,0,0,3,0,2,8,0,2291,37,621,30,8,0,352,63,353,485,6,4,0,35,8,3,27,22,32,41,32,27,113,2,59,0,29,7,10,155,16,40,987,0,60,0,0,1,72,8,0,0,10,43,0,37,30,363,0,68,1419,749,2,0,207,1,0,2,237,6,500,495,3,0,0,0,1,91,0
2024-03-01,9,14,16,620,169,32,8,5,21,436,1464,0,37,37,4,2,55,0,107,0,31,3,4,5,119,4,1,0,0,2,0,3,0,49,6,0,170,37,406,11,324,77,92,11,74,58,11,2,280,1,28,0,66,17,10,774,17,75,20,2,1,31,0,5,0,107,12,1,0,57,20,49,1,0,1,11,12,2,0,350,2,457,1,16,33,30,9,229,78,219,208,14,56,0,31,24,25,9,17,14,33,27,12,369,0,24,1,23,20,31,89,14,172,264,10,107,93,11,2,51,24,14,10,29,178,2,38,14,1321,17,111,1588,560,17,5,673,11,0,0,249,17,555,623,23,11,0,0,2,77,0
2024-04-01,0,23,61,725,94,18,2,1,24,414,755,0,13,22,1,42,107,0,247,0,7,29,9,5,21,45,36,2,0,0,1,2,0,12,3,3,281,67,126,2,252,21,14,19,131,4,49,8,149,0,236,0,24,1,9,748,3,249,19,6,0,48,0,12,12,46,11,0,0,151,21,59,3,23,0,6,2,4,0,228,1,816,48,34,22,8,8,223,30,47,206,70,25,0,17,12,70,2,20,57,65,17,32,70,3,6,0,24,7,11,78,24,172,1025,59,71,65,60,7,46,12,26,15,23,170,17,63,5,376,20,212,1445,369,18,22,853,0,0,0,268,10,533,985,61,0,0,0,4,107,0
2024-05-01,86,39,89,717,161,17,125,6,31,356,1098,0,75,61,4,7,82,1,105,0,15,3,5,19,56,1,24,0,0,2,26,7,0,18,5,0,192,16,339,5,433,38,103,77,202,38,72,6,185,0,26,0,36,0,1,252,11,196,16,14,0,54,106,10,4,62,13,86,2,121,84,67,2,31,0,4,2,2,0,170,6,429,25,27,0,16,4,144,10,48,311,22,48,0,15,17,129,1,21,36,45,6,21,136,2,33,7,85,20,3,155,19,49,264,4,28,81,141,0,71,29,8,6,61,115,12,102,12,660,155,278,1633,430,14,2,751,1,2,0,210,35,689,1888,20,0,0,0,4,150,1
2024-06-01,145,30,72,581,92,14,131,3,38,389,1205,0,81,20,4,0,4,0,88,0,20,9,5,4,19,0,74,0,0,0,6,6,0,21,0,3,31,54,340,37,332,40,182,153,29,144,107,0,217,0,41,0,32,0,9,143,12,285,5,14,1,28,176,14,9,34,4,53,0,107,15,59,8,25,0,1,1,9,0,94,2,750,38,112,20,52,9,501,19,45,257,12,113,0,18,12,81,8,13,33,44,12,23,216,2,104,22,60,18,3,122,11,36,322,58,1,15,72,0,47,8,6,8,18,285,45,39,2,715,100,284,1144,554,24,2,342,0,1,3,227,17,415,1609,24,0,0,0,2,196,0
2024-07-01,20,11,124,407,261,23,271,5,71,1326,1560,17,89,55,3,4,47,0,51,0,18,3,1,7,14,0,4,0,0,11,14,0,0,11,20,2,72,40,512,43,554,90,244,17,192,242,30,4,91,0,133,0,30,1,2,205,9,274,14,67,1,14,245,5,7,67,16,135,1,171,51,60,2,59,5,0,0,21,2,124,3,632,112,105,5,39,22,162,12,107,191,23,192,0,19,18,50,14,35,55,53,20,87,187,0,79,11,38,42,2,218,5,21,794,1,17,104,33,0,132,12,11,4,85,119,32,133,14,1644,10,478,2200,570,14,6,1187,3,2,1,200,11,320,2035,32,0,0,0,2,112,2
